"Auto - Auto Refunds","ALL US Traffic",cpa_flat,https_img,2015-09-06,http://autorefunds.com/t1,http://knil.tenhoknet.com/aff_c?offer_id=52&aff_id=2,0.75,,,
"Debt - Pacific Debt","Path Traffic Only. 

$10k in unsecured debt for qualification",cpa_flat,https_img,2015-09-12,http://www.PacificDebt.com,http://knil.tenhoknet.com/aff_c?offer_id=54&aff_id=2,12.00,,"United States",US
"Finance - Help For All Families (TANF)","All US traffic accepted",cpa_flat,http_img,2014-07-24,http://www.helpforallfamilies.com/tanf-k/?email=emailemail.com&amp;first_name=fname&amp;zip=zipcode&amp;subid=sid,http://knil.tenhoknet.com/aff_c?offer_id=40&aff_id=2,0.70,,"United States",US
"Finance - Housing Assistance Search","All US Traffic",cpa_flat,http_img,2015-07-02,http://housingassistancesearch.net/section8,http://knil.tenhoknet.com/aff_c?offer_id=22&aff_id=2,0.75,,"United States",US
"Finance - Money For Electric Bills","All US Traffic",cpa_flat,http_img,2015-08-09,http://moneyforelectricbills.com/,http://knil.tenhoknet.com/aff_c?offer_id=46&aff_id=2,0.65,,,
"Finance - USA Medical Benefits","All US Traffic",cpa_flat,http_img,2015-07-02,http://www.usamedicaidbenefits.com/get-medicaid-kn/?email=emailemail.com&amp;first_name=fname&amp;zip=zipcode&amp;subid=sid,http://knil.tenhoknet.com/aff_c?offer_id=20&aff_id=2,0.80,,"United States",US
"General Finance - Food Stamp Advisor",,cpa_flat,http_img,2015-06-19,http://foodstampadvisor.com/?theme=fsa1,http://knil.tenhoknet.com/aff_c?offer_id=18&aff_id=2,0.60,,"United States",US
"Grant - Grant Approval 360",,cpa_flat,https_img,2015-06-19,http://www.grantapproval360.com/,http://knil.tenhoknet.com/aff_c?offer_id=16&aff_id=2,1.00,,"United States",US
"Grant - Grant Seeker USA","Converts on first page submit",cpa_flat,http_img,2015-12-31,http://grantseekerusa.com/,http://knil.tenhoknet.com/aff_c?offer_id=14&aff_id=2,0.60,,"United States",US
"Grant - USA Grant Info","All US Traffic",cpa_flat,https_img,2015-10-16,http://www.usagrantinfo.com,http://knil.tenhoknet.com/aff_c?offer_id=72&aff_id=2,0.55,,,
"Insurance - Discount Health Insurance",,cpa_flat,https_img,2015-06-09,http://quotes.usinsuranceonline.com/healthcontact.php,http://knil.tenhoknet.com/aff_c?offer_id=4&aff_id=2,6.40,,,
"Job Advisor USA-2",,cpa_flat,http,2015-08-24,http://JobAdvisorUSA.com,http://knil.tenhoknet.com/aff_c?offer_id=50&aff_id=2,0.70,,"United States",US
